,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
45578,2002,50.0,1.0,1.0,Religious,Republican
45581,2002,70.0,0.0,5.0,Not Religious,Democrat
45582,2002,50.0,1.0,1.0,Religious,Republican
45583,2002,40.0,1.0,2.0,Religious,Independent
45584,2002,60.0,1.0,1.0,Religious,Republican
45585,2002,50.0,1.0,5.0,Religious,Democrat
45586,2002,35.0,1.0,1.0,Religious,Republican
45587,2002,80.0,1.0,2.0,Religious,Independent
45588,2002,50.0,1.0,5.0,Religious,Democrat
45589,2002,25.0,1.0,5.0,Religious,Democrat
45590,2002,50.0,1.0,2.0,Religious,Independent
45591,2002,40.0,1.0,2.0,Religious,Independent
45592,2002,75.0,1.0,5.0,Religious,Democrat
45593,2002,50.0,1.0,5.0,Religious,Democrat
45594,2002,80.0,0.0,2.0,Not Religious,Independent
45595,2002,70.0,1.0,5.0,Religious,Democrat
45597,2002,70.0,1.0,3.0,Religious,No preference
45598,2002,20.0,0.0,2.0,Not Religious,Independent
45599,2002,50.0,1.0,5.0,Religious,Democrat
45600,2002,60.0,1.0,5.0,Religious,Democrat
45601,2002,30.0,1.0,5.0,Religious,Democrat
45602,2002,98.5,0.0,2.0,Not Religious,Independent
45604,2002,60.0,1.0,5.0,Religious,Democrat
45605,2002,50.0,1.0,1.0,Religious,Republican
45606,2002,60.0,1.0,1.0,Religious,Republican
45607,2002,85.0,0.0,1.0,Not Religious,Republican
45608,2002,50.0,1.0,2.0,Religious,Independent
45611,2002,80.0,1.0,5.0,Religious,Democrat
45612,2002,70.0,1.0,5.0,Religious,Democrat
45613,2002,4.0,1.0,2.0,Religious,Independent
45614,2002,30.0,1.0,1.0,Religious,Republican
45615,2002,50.0,1.0,2.0,Religious,Independent
45616,2002,98.5,1.0,5.0,Religious,Democrat
45618,2002,30.0,1.0,5.0,Religious,Democrat
45619,2002,20.0,1.0,5.0,Religious,Democrat
45620,2002,80.0,1.0,5.0,Religious,Democrat
45621,2002,50.0,0.0,5.0,Not Religious,Democrat
45622,2002,10.0,1.0,1.0,Religious,Republican
45623,2002,50.0,1.0,2.0,Religious,Independent
45625,2002,0.0,1.0,1.0,Religious,Republican
45626,2002,50.0,1.0,5.0,Religious,Democrat
45627,2002,40.0,1.0,2.0,Religious,Independent
45628,2002,98.5,1.0,2.0,Religious,Independent
45630,2002,50.0,1.0,5.0,Religious,Democrat
45632,2002,50.0,1.0,1.0,Religious,Republican
45633,2002,70.0,1.0,5.0,Religious,Democrat
45634,2002,50.0,0.0,2.0,Not Religious,Independent
45635,2002,50.0,0.0,1.0,Not Religious,Republican
45636,2002,70.0,1.0,2.0,Religious,Independent
45637,2002,1.0,1.0,1.0,Religious,Republican
45638,2002,50.0,0.0,1.0,Not Religious,Republican
45639,2002,10.0,1.0,5.0,Religious,Democrat
45641,2002,60.0,1.0,2.0,Religious,Independent
45642,2002,50.0,1.0,2.0,Religious,Independent
45643,2002,60.0,1.0,5.0,Religious,Democrat
45644,2002,5.0,1.0,1.0,Religious,Republican
45645,2002,50.0,0.0,2.0,Not Religious,Independent
45646,2002,50.0,1.0,5.0,Religious,Democrat
45648,2002,50.0,1.0,1.0,Religious,Republican
45649,2002,50.0,1.0,2.0,Religious,Independent
45650,2002,55.0,0.0,5.0,Not Religious,Democrat
45652,2002,50.0,0.0,1.0,Not Religious,Republican
45653,2002,0.0,1.0,5.0,Religious,Democrat
45655,2002,40.0,1.0,2.0,Religious,Independent
45656,2002,0.0,1.0,1.0,Religious,Republican
45657,2002,50.0,0.0,3.0,Not Religious,No preference
45658,2002,40.0,1.0,2.0,Religious,Independent
45659,2002,70.0,1.0,2.0,Religious,Independent
45660,2002,50.0,0.0,2.0,Not Religious,Independent
45662,2002,2.0,1.0,5.0,Religious,Democrat
45663,2002,0.0,1.0,2.0,Religious,Independent
45664,2002,50.0,1.0,1.0,Religious,Republican
45665,2002,50.0,1.0,5.0,Religious,Democrat
45667,2002,50.0,1.0,1.0,Religious,Republican
45668,2002,98.5,1.0,3.0,Religious,No preference
45669,2002,60.0,1.0,5.0,Religious,Democrat
45670,2002,40.0,1.0,5.0,Religious,Democrat
45671,2002,60.0,0.0,1.0,Not Religious,Republican
45672,2002,50.0,0.0,5.0,Not Religious,Democrat
45673,2002,60.0,0.0,2.0,Not Religious,Independent
45674,2002,0.0,1.0,1.0,Religious,Republican
45675,2002,85.0,1.0,5.0,Religious,Democrat
45678,2002,50.0,1.0,2.0,Religious,Independent
